id,fake,real
TEST_00000,0.5000790357589722,0.5070815682411194
TEST_00001,0.5719424486160278,0.4295400083065033
TEST_00002,0.9256249070167542,0.07327025383710861
TEST_00003,0.2332579493522644,0.7586998343467712
TEST_00004,0.7502943277359009,0.2524593472480774
TEST_00005,0.37031152844429016,0.6235164403915405
TEST_00006,0.5924914479255676,0.3972250521183014
TEST_00007,0.1130027025938034,0.8870681524276733
TEST_00008,0.5534167289733887,0.4495970606803894
TEST_00009,0.8929547667503357,0.1052812859416008
TEST_00010,0.9876932501792908,0.011174584738910198
TEST_00011,0.30589035153388977,0.6824101209640503
TEST_00012,0.16664737462997437,0.8362464308738708
TEST_00013,0.3490739166736603,0.6473395824432373
TEST_00014,0.9754807949066162,0.023607492446899414
TEST_00015,0.7998887896537781,0.1979392170906067
TEST_00016,0.06001128628849983,0.9405191540718079
TEST_00017,0.3697415590286255,0.615329384803772
TEST_00018,0.1026136726140976,0.8984761238098145
TEST_00019,0.8543132543563843,0.1470736861228943
TEST_00020,0.04595937207341194,0.9543014168739319
TEST_00021,0.9368643760681152,0.06112340837717056
TEST_00022,0.45486679673194885,0.529551088809967
TEST_00023,0.88004070520401,0.11979947239160538
TEST_00024,0.36411651968955994,0.6392379999160767
TEST_00025,0.9471963047981262,0.05075172334909439
TEST_00026,0.9500635266304016,0.04783403128385544
TEST_00027,0.8181813359260559,0.17366431653499603
TEST_00028,0.9090925455093384,0.09135011583566666
TEST_00029,0.9861147403717041,0.012889726087450981
TEST_00030,0.9651529788970947,0.03077717125415802
TEST_00031,0.9510976672172546,0.042344316840171814
TEST_00032,0.00984270591288805,0.9894815683364868
TEST_00033,0.8621575236320496,0.13565123081207275
TEST_00034,0.5048119425773621,0.5083406567573547
TEST_00035,0.8291019201278687,0.16905507445335388
TEST_00036,0.8554273247718811,0.1272851973772049
TEST_00037,0.6305447816848755,0.3724692463874817
TEST_00038,0.7481405138969421,0.25004053115844727
TEST_00039,0.7119049429893494,0.2878250181674957
TEST_00040,0.06742352247238159,0.9330309629440308
TEST_00041,0.7764765024185181,0.21900129318237305
TEST_00042,0.28114810585975647,0.71137535572052
TEST_00043,0.9192555546760559,0.08218007534742355
TEST_00044,0.6471922993659973,0.3447456657886505
TEST_00045,0.7564700245857239,0.2416667342185974
TEST_00046,0.6787355542182922,0.3253844678401947
TEST_00047,0.05954092741012573,0.9425418376922607
TEST_00048,0.13784156739711761,0.8606206178665161
TEST_00049,0.47209039330482483,0.528712272644043
TEST_00050,0.9895085096359253,0.009109457023441792
TEST_00051,0.26197439432144165,0.7377457022666931
TEST_00052,0.8894899487495422,0.11009624600410461
TEST_00053,0.8110145926475525,0.18710929155349731
TEST_00054,0.9707008004188538,0.02921130694448948
TEST_00055,0.9887458682060242,0.010327787138521671
TEST_00056,0.9840824604034424,0.015173891559243202
TEST_00057,0.3219829499721527,0.677558422088623
