id,fake,real
TEST_00000,0.33936816453933716,0.6669419407844543
TEST_00001,0.017815858125686646,0.9820634126663208
TEST_00002,0.02712584100663662,0.9727410078048706
TEST_00003,0.0019202296389266849,0.9980133771896362
TEST_00004,0.0011857671197503805,0.9987637996673584
TEST_00005,0.0030702075455337763,0.9967895150184631
TEST_00006,0.009222432039678097,0.9905546307563782
TEST_00007,0.00013387751823756844,0.9998459815979004
TEST_00008,0.000890374300070107,0.9990614056587219
TEST_00009,0.523673415184021,0.4815483093261719
TEST_00010,0.8946946859359741,0.11341831088066101
TEST_00011,0.6188799738883972,0.3866766393184662
TEST_00012,0.04558912664651871,0.9543665647506714
TEST_00013,0.5588523149490356,0.44051310420036316
TEST_00014,0.8189114332199097,0.18842729926109314
TEST_00015,0.0009644529782235622,0.9989908337593079
TEST_00016,0.00017748144455254078,0.9998012185096741
TEST_00017,0.9137194752693176,0.0939081460237503
TEST_00018,0.00014550445484928787,0.9998341798782349
TEST_00019,0.01600758545100689,0.9837625026702881
TEST_00020,0.024261243641376495,0.9757225513458252
TEST_00021,0.0026325564831495285,0.9973033666610718
TEST_00022,0.9205769896507263,0.08175094425678253
TEST_00023,0.4825277030467987,0.5199118256568909
TEST_00024,0.0007629988831467927,0.9991928935050964
TEST_00025,0.9902399778366089,0.01073000393807888
TEST_00026,0.00018473224190529436,0.999794065952301
TEST_00027,0.9455122947692871,0.05586821958422661
TEST_00028,0.9877187013626099,0.013430939055979252
TEST_00029,0.9682838320732117,0.03504158928990364
TEST_00030,0.00014176980766933411,0.9998376369476318
TEST_00031,0.0033577396534383297,0.9965840578079224
TEST_00032,0.0001315955159952864,0.9998483657836914
TEST_00033,0.0018637424800544977,0.9980672001838684
TEST_00034,0.000349648529663682,0.9996232986450195
TEST_00035,0.00013564438268076628,0.9998443126678467
TEST_00036,0.0006876742118038237,0.9992764592170715
TEST_00037,0.0006994288414716721,0.9992601275444031
TEST_00038,0.00016211983165703714,0.9998175501823425
TEST_00039,0.5230178236961365,0.47740796208381653
TEST_00040,0.003422144567593932,0.9964662790298462
TEST_00041,0.00014541498967446387,0.9998342990875244
TEST_00042,0.0004883880028501153,0.9994764924049377
TEST_00043,0.0001460467028664425,0.9998335838317871
TEST_00044,0.9572227597236633,0.045552946627140045
TEST_00045,0.0020151427015662193,0.9979069232940674
TEST_00046,0.0003720505628734827,0.9996007084846497
TEST_00047,0.0001551392488181591,0.9998243451118469
TEST_00048,0.00013434428547043353,0.9998456239700317
TEST_00049,0.0006306986324489117,0.9993300437927246
TEST_00050,0.00015686132246628404,0.9998226761817932
TEST_00051,0.8165733218193054,0.18680481612682343
TEST_00052,0.1980723887681961,0.8038293719291687
TEST_00053,0.11450936645269394,0.8855386972427368
TEST_00054,0.0001874911249615252,0.9997912049293518
TEST_00055,0.9963006973266602,0.0037287045270204544
TEST_00056,0.00014465601998381317,0.9998350143432617
TEST_00057,0.00014149807975627482,0.9998382329940796
TEST_00058,0.18334068357944489,0.8179677128791809
TEST_00059,0.9956403970718384,0.004515137057751417
TEST_00060,0.00023441390658263117,0.9997426867485046
TEST_00061,0.00014673794794362038,0.9998329877853394
TEST_00062,0.007661841809749603,0.992097020149231
TEST_00063,0.00013853728887625039,0.9998413324356079
TEST_00064,0.0001375462452415377,0.9998424053192139
TEST_00065,0.00031438309815712273,0.999659538269043
TEST_00066,0.00014467339497059584,0.9998350143432617
TEST_00067,0.0022444180212914944,0.997665286064148
TEST_00068,0.9091981649398804,0.09367791563272476
TEST_00069,0.9015679359436035,0.10183383524417877
TEST_00070,0.9934173822402954,0.006663534790277481
TEST_00071,0.002954241819679737,0.9969287514686584
TEST_00072,0.00015682003868278116,0.9998226761817932
TEST_00073,0.00013390560343395919,0.9998459815979004
TEST_00074,0.003507931251078844,0.9963846206665039
TEST_00075,0.982216477394104,0.01802739128470421
TEST_00076,0.9031426310539246,0.0971706435084343
TEST_00077,0.026653632521629333,0.9733304977416992
TEST_00078,0.00013275731180328876,0.9998472929000854
TEST_00079,0.884270191192627,0.11823418736457825
TEST_00080,0.009918056428432465,0.9898489713668823
TEST_00081,0.9660330414772034,0.03641752898693085
TEST_00082,0.0001410854165442288,0.9998387098312378
TEST_00083,0.00012857618276029825,0.9998513460159302
TEST_00084,0.9024235606193542,0.10132217407226562
TEST_00085,0.0013575585326179862,0.9985958933830261
TEST_00086,0.0017366937827318907,0.9981920123100281
